,PrecinctID,Yes,No,Ballots,Turnout,prop,PYes,PNo
37,7015,21,9,32,41.03,I,0.7,0.3
160,7647,123,66,192,24.52,I,0.650793651,0.349206349
387,9741,73,40,131,14.28,I,0.646017699,0.353982301
230,7924,506,285,805,50.79,I,0.639696587,0.360303413
229,7922,449,264,729,44.59,I,0.62973352,0.37026648
225,7915,477,291,788,50.51,I,0.62109375,0.37890625
227,7917,508,314,827,48.11,I,0.618004866,0.381995134
232,7926,256,163,429,55.93,I,0.61097852,0.38902148
217,7903,210,135,363,43.16,I,0.608695652,0.391304348
231,7925,147,95,245,46.94,I,0.607438017,0.392561983
98,7346,422,274,731,44.54,I,0.606321839,0.393678161
136,7613,352,238,626,33.98,I,0.596610169,0.403389831
228,7919,236,160,406,48.45,I,0.595959596,0.404040404
222,7909,435,305,752,48.24,I,0.587837838,0.412162162
130,7601,144,101,257,31.73,I,0.587755102,0.412244898
133,7607,349,245,624,37.07,I,0.587542088,0.412457912
221,7907,515,362,903,49.67,I,0.58722919,0.41277081
199,7844,393,279,681,49.82,I,0.584821429,0.415178571
226,7916,243,173,423,50.78,I,0.584134615,0.415865385
219,7905,223,160,395,48.95,I,0.582245431,0.417754569
32,7006,244,180,437,50.35,I,0.575471698,0.424528302
112,7523,387,287,687,46.51,I,0.574183976,0.425816024
224,7913,231,173,407,48.28,I,0.571782178,0.428217822
163,7703,24,18,48,35.56,I,0.571428571,0.428571429
239,7936,260,201,477,59.4,I,0.563991323,0.436008677
191,7834,464,360,846,53.78,I,0.563106796,0.436893204
131,7604,322,251,589,40.35,I,0.561954625,0.438045375
121,7542,399,312,739,48.62,I,0.561181435,0.438818565
319,9401,405,321,750,42.3,I,0.55785124,0.44214876
245,7945,184,146,342,41.6,I,0.557575758,0.442424242
220,7906,199,158,364,48.66,I,0.557422969,0.442577031
355,9511,144,115,271,47.63,I,0.555984556,0.444015444
389,9745,318,254,588,32.41,I,0.555944056,0.444055944
118,7533,452,364,844,50.66,I,0.553921569,0.446078431
244,7944,382,309,708,48.32,I,0.552821997,0.447178003
240,7937,236,192,431,51.8,I,0.551401869,0.448598131
242,7942,198,163,379,45.5,I,0.548476454,0.451523546
237,7934,216,179,408,51.38,I,0.546835443,0.453164557
137,7615,263,220,515,29.51,I,0.544513458,0.455486542
223,7912,248,209,468,51.14,I,0.542669584,0.457330416
99,7348,159,134,311,41.42,I,0.542662116,0.457337884
216,7902,443,375,825,42.25,I,0.541564792,0.458435208
26,1149,387,328,765,46.14,I,0.541258741,0.458741259
95,7339,311,264,611,44.44,I,0.540869565,0.459130435
90,7332,374,319,733,48.96,I,0.53968254,0.46031746
241,7939,374,321,710,51.68,I,0.538129496,0.461870504
186,7827,404,350,767,51.69,I,0.535809019,0.464190981
79,7315,356,309,732,52.51,I,0.535338346,0.464661654
23,1144,380,330,741,43.01,I,0.535211268,0.464788732
233,7927,457,397,869,55.07,I,0.535128806,0.464871194
120,7539,428,372,829,51.72,I,0.535,0.465
132,7605,222,193,462,31.15,I,0.534939759,0.465060241
178,7814,413,360,801,46.41,I,0.534282018,0.465717982
356,9512,167,146,321,44.52,I,0.533546326,0.466453674
3,1104,191,167,376,43.57,I,0.533519553,0.466480447
354,9507,313,276,615,47.02,I,0.531409168,0.468590832
111,7521,333,296,648,46.12,I,0.529411765,0.470588235
55,7043,132,120,261,30.82,I,0.523809524,0.476190476
